Name,Status,Section,Activity,Term,Mode of Delivery,Interval,Days,Start Time,End Time,Section Comments,Requires In-Person Attendance,Total Seats Remaining:,Currently Registered:,General Seats Remaining:,Restricted Seats Remaining*:,Course URL
"HINCH, SCOTT",,FRST 348 201,Work Placement,2,In-Person,,,,,,Yes,7,3,7,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=348&section=201
"HINCH, SCOTT",Restricted,FRST 386 201,Lecture,2,In-Person,,Mon Wed Fri,11:00,12:00,Section Comments  This course is also open to non-Forestry students.,Yes,39,131,0,39,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=386&section=201
"HINCH, SCOTT",,FRST 386 L01,Laboratory,2,In-Person,,Mon,13:00,15:00,,Yes,1,34,1,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=386&section=L01
"HINCH, SCOTT",,FRST 386 L02,Laboratory,2,In-Person,,Wed,13:00,15:00,,Yes,8,27,8,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=386&section=L02
"HINCH, SCOTT",Full,FRST 386 L03,Laboratory,2,In-Person,,Thu,13:00,15:00,,Yes,0,35,0,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=386&section=L03
"HINCH, SCOTT",,FRST 386 L04,Laboratory,2,In-Person,,Thu,15:00,17:00,,Yes,19,16,19,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=386&section=L04
"HINCH, SCOTT",,FRST 386 L05,Laboratory,2,In-Person,,Fri,13:00,15:00,,Yes,11,19,11,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=386&section=L05
"HINCH, SCOTT",Blocked,FRST 446 101,Work Placement,1,In-Person,,,,,Section Comments  Please contact the Forestry Co-op Education Coordinator for registration.,Yes,0,10,0,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=446&section=101
"HINCH, SCOTT",,FRST 446 201,Work Placement,2,In-Person,,,,,,Yes,9,1,9,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=446&section=201
"HINCH, SCOTT",,FRST 447 101,Work Placement,1,In-Person,,,,,,Yes,10,0,10,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=447&section=101
"HINCH, SCOTT",Blocked,FRST 447 201,Work Placement,2,In-Person,,,,,,Yes,20,0,20,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=447&section=201
"HINCH, SCOTT",Blocked,FRST 448 101,Work Placement,1,In-Person,,,,,,Yes,18,2,18,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=448&section=101
"HINCH, SCOTT",Blocked,FRST 448 201,Work Placement,2,In-Person,,,,,,Yes,20,0,20,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=448&section=201
"HINCH, SCOTT",Blocked,FRST 449C 101,Directed Studies,1,In-Person,,,,,,Yes,6,4,6,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=449C&section=101
"HINCH, SCOTT",Blocked,FRST 449C 201,Directed Studies,2,In-Person,,,,,,Yes,3,2,3,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=449C&section=201
"HINCH, SCOTT",Blocked,UFOR 449C 201,Directed Studies,2,In-Person,,,,,Section Comments,Yes,5,0,5,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=UFOR&course=449C&section=201
"HINCH, SCOTT",Blocked,UFOR 449F 001,Directed Studies,1-2,In-Person,,,,,,Yes,10,0,10,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=UFOR&course=449F&section=001
"HINCH, SCOTT",Blocked,UFOR 449F 101,Directed Studies,1,In-Person,,,,,,Yes,10,0,10,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=UFOR&course=449F&section=101
"HINCH, SCOTT",Blocked,UFOR 449F 201,Directed Studies,2,In-Person,,,,,,Yes,10,0,10,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=UFOR&course=449F&section=201
"HOBERG, GEORGE",STT,PPGA 505 001,Seminar,2,In-Person,,Mon Wed,14:00,15:30,Section Comments  Seats in the course are restricted to students in the MPPGA program.,Yes,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=PPGA&course=505&section=001
"HOBERG, GEORGE",Restricted,PPGA 541 001,Seminar,2,In-Person,,Tue,14:00,17:00,"Section Comments  2 seats are open to non-MPPGA students. The rest of the seats are restricted to MPPGA students by July 18.Energy sources, markets, and impacts critical to energy policy, including oil, natural gas and coal markets; electricity and utilities policy; local and global environmental impacts; renewable energy; nuclear power and security; energy efficiency; technological innovation; and energy poverty.",Yes,12,8,0,12,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=PPGA&course=541&section=001
"HODGSON, MURRAY",NO COURSES FOUND,https://courses.students.ubc.ca/cs/courseschedule?pname=inst&ubcid=1475746&catano=0&term=1&sessyr=2022&sesscd=W&campuscd=UBC
"HOTTE, NGAIO",NO COURSES FOUND,https://courses.students.ubc.ca/cs/courseschedule?pname=inst&ubcid=1692638&catano=0&term=1&sessyr=2022&sesscd=W&campuscd=UBC
"IBRAHIM, OMNIA",NO COURSES FOUND,https://courses.students.ubc.ca/cs/courseschedule?pname=inst&ubcid=1485551&catano=0&term=1&sessyr=2022&sesscd=W&campuscd=UBC
"ISSIFU, IBRAHIM",NO COURSES FOUND,https://courses.students.ubc.ca/cs/courseschedule?pname=inst&ubcid=2143604&catano=0&term=1&sessyr=2022&sesscd=W&campuscd=UBC
"JACKSON, HOWARD",NO COURSES FOUND,https://courses.students.ubc.ca/cs/courseschedule?pname=inst&ubcid=1327068&catano=0&term=1&sessyr=2022&sesscd=W&campuscd=UBC
"JACKSON, SARAH NELLE",Full,ENGL 100 010,Lecture,1,In-Person,,Tue Thu,14:00,15:30,"Section Comments  **ENGL 100 meets the 3.0 credit Faculty of Arts Writing requirement.  Students planning to seek a Major, Honours, or Minor degree in English are encouraged to take this course.  **Students require only one of WRDS 150, WRDS 350, ENGL 100, ARTS 001 (Arts One), or ASTU 100 or 101 (Coordinated Arts Program) to satisfy the Writing Component of the Writing and Research Requirement.**Open by permission to students outside Arts who are considering an ENGL minor and have strong ENGL 12 grades: first-year.english@ubc.caRESTRICTED TO STUDENTS IN ARTS, FINE ARTS, AND MUSIC.",Yes,0,30,0,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=ENGL&course=100&section=010
"JACKSON, SARAH NELLE",Blocked,LFS 150 004,Lecture,2,In-Person,,Tue Thu,11:00,12:30,"Section Comments  This course has been BLOCKED for registration. Please enroll on the waitlist (LFS 150 0W4). If the waitlist is full, please continue to monitor the SSC for space to come available.",Yes,0,30,0,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=LFS&course=150&section=004
"JONES, TREVOR",NO COURSES FOUND,https://courses.students.ubc.ca/cs/courseschedule?pname=inst&ubcid=1773239&catano=0&term=1&sessyr=2022&sesscd=W&campuscd=UBC
"KITCHENS, KATHERINE",,FRST 211 201,Lecture,2,In-Person,,Mon Wed Fri,13:00,14:00,Section Comments  Course includes off campus field labs some lab days from 8:00 to 18:00.  Forestry students are encouraged to enroll in both Frst 200/210 and 201/211 in the same year.  This course is also open to non-Forestry students who meet the prerequisites.,Yes,41,144,41,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=211&section=201
"KITCHENS, KATHERINE",,FRST 211 L01,Laboratory,2,In-Person,,Tue,8:00,10:00,Section Comments  PLEASE NOTE That there will be one full day optional Tuesday field trip.,Yes,20,16,20,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=211&section=L01
"KITCHENS, KATHERINE",,FRST 211 L02,Laboratory,2,In-Person,,Tue,10:00,12:00,Section Comments  PLEASE NOTE That there will be one full day optional Tuesday field trip.,Yes,6,30,6,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=211&section=L02
"KITCHENS, KATHERINE",Full,FRST 211 L03,Laboratory,2,In-Person,,Tue,12:00,14:00,Section Comments  PLEASE NOTE That there will be one full day optional Tuesday field trip.,Yes,0,37,0,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=211&section=L03
"KITCHENS, KATHERINE",Full,FRST 211 L04,Laboratory,2,In-Person,,Tue,14:00,16:00,Section Comments  PLEASE NOTE That there will be one full day optional Tuesday field trip.,Yes,0,36,0,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=211&section=L04
"KITCHENS, KATHERINE",,FRST 211 L05,Laboratory,2,In-Person,,Tue,16:00,18:00,Section Comments  PLEASE NOTE That there will be one full day optional Tuesday field trip.,Yes,12,24,12,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=211&section=L05
"KONKIN, DOUG",NO COURSES FOUND,https://courses.students.ubc.ca/cs/courseschedule?pname=inst&ubcid=1576360&catano=0&term=1&sessyr=2022&sesscd=W&campuscd=UBC
"KOZAK, ROBERT ANTAL",Blocked,FRST 346 101,Work Placement,1,In-Person,,,,,Section Comments  Co-op Workterm - please see Co-op Coordinator to register.,Yes,6,4,6,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=346&section=101
"KOZAK, ROBERT ANTAL",Blocked,FRST 449B 202,Directed Studies,2,In-Person,,,,,,Yes,4,1,4,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=449B&section=202
"KOZAK, ROBERT ANTAL",Blocked,UFOR 449C 001,Directed Studies,1-2,In-Person,,Thu,17:00,19:00,,Yes,0,9,0,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=UFOR&course=449C&section=001
"KOZAK, ROBERT ANTAL",,,Directed Studies,1-2,In-Person,,Thu,14:00,16:00,,Yes
"KRIVAK-TETLEY, FLORA ESTELLA",NO COURSES FOUND,https://courses.students.ubc.ca/cs/courseschedule?pname=inst&ubcid=2401528&catano=0&term=1&sessyr=2022&sesscd=W&campuscd=UBC
"KWUN, ELISA",,FRST 490 201,Lecture,2,In-Person,,Wed,15:00,18:00,Section Comments  FRST 490 is the same as FRST 551 and is cross-listed with LARC 542.,Yes,7,27,2,5,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=490&section=201
"KWUN, ELISA",,FRST 551 201,Lecture,2,In-Person,,Wed,15:00,18:00,Section Comments  cross-listed with LARC 542 and FRST 490.,Yes,8,7,8,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=551&section=201
"KWUN, ELISA",Restricted,LARC 542 001,Seminar,2,In-Person,,Wed,15:00,18:00,,Yes,10,5,0,10,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=LARC&course=542&section=001
"KWUN, ELISA",,LARC 542 WL1,Waiting List,2,In-Person,,Wed,,,,Yes,27,0,12,15,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=LARC&course=542&section=WL1
"KWUN, ELISA",Blocked,UFOR 449C 001,Directed Studies,1-2,In-Person,,Thu,17:00,19:00,,Yes,0,9,0,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=UFOR&course=449C&section=001
"KWUN, ELISA",,,Directed Studies,1-2,In-Person,,Thu,14:00,16:00,,Yes
"LAFOND, VALENTINE MARIE ADELAIDE",,FRST 423 201,Lecture,2,In-Person,,Tue Thu,9:00,11:00,,Yes,23,47,23,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=423&section=201
"LAFOND, VALENTINE MARIE ADELAIDE",,FRST 423 L01,Laboratory,2,In-Person,,Wed,9:00,11:00,,Yes,24,11,24,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=423&section=L01
"LAFOND, VALENTINE MARIE ADELAIDE",Full,FRST 423 L02,Laboratory,2,In-Person,,Wed,11:00,13:00,,Yes,0,36,0,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=423&section=L02
"LAFOND, VALENTINE MARIE ADELAIDE",,FRST 423 T01,Tutorial,2,In-Person,,Tue,14:00,16:00,,Yes,24,46,24,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=423&section=T01
"LAM, FRANK",,WOOD 276 101,Lecture,1,In-Person,,Mon Wed Fri,9:00,10:00,,Yes,36,14,36,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=WOOD&course=276&section=101
"LAM, FRANK",,WOOD 276 L01,Laboratory,1,In-Person,,Tue,10:00,12:00,,Yes,36,14,36,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=WOOD&course=276&section=L01
"LAM, FRANK",,WOOD 386 101,Lecture,1,In-Person,,Mon Wed,15:00,16:00,,Yes,20,45,20,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=WOOD&course=386&section=101
"LAM, FRANK",,WOOD 386 L01,Laboratory,1,In-Person,,Fri,15:00,17:00,,Yes,20,45,20,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=WOOD&course=386&section=L01
"LAM, FRANK",Blocked,WOOD 576 201,Directed Studies,2,In-Person,,,,,Section Comments  Directed Study style course with instructor permission required for registration.,Yes,1,5,1,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=WOOD&course=576&section=201
"LANGSTON, JAMES",Restricted,FRST 519 101,Lecture,1,In-Person,,Wed,9:00,12:00,,Yes,7,18,0,7,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=519&section=101
"LANGSTON, JAMES",Restricted,FRST 526C 921,Project,1-2,In-Person,,,,,"Section Comments  MIF program internship/project.Should any organizational meeting be held for this class, they will be held in FSC 2401.",Yes,20,0,0,20,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=526C&section=921
"LANGSTON, JAMES",Restricted,FRST 534 201,Lecture,2,In-Person,,Mon Tue Wed Thu Fri,9:00,12:00,Section Comments  Restricted Registration. Condensed module course in February; registered students will receive exact schedule from the Program Coordinator.,Yes,2,18,0,2,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=534&section=201
"LANGSTON, JAMES",Restricted,FRST 562 001,Lecture,1-2,In-Person,,Thu,13:00,16:00,Section Comments  September through to April.Please note that this course will be held in room 2237.,Yes,12,13,0,12,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=562&section=001
"LANGSTON, JAMES",,,Lecture,1-2,In-Person,,Thu,13:00,16:00,Section Comments  September through to April.Please note that this course will be held in room 2237.,Yes
"LAROCQUE, ALLEN",,FRST 399 001,Lecture,2,In-Person,,Wed,15:00,17:00,,Yes,1,64,1,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=399&section=001
"LARSON, BRUCE C.",NO COURSES FOUND,https://courses.students.ubc.ca/cs/courseschedule?pname=inst&ubcid=1312325&catano=0&term=1&sessyr=2022&sesscd=W&campuscd=UBC
"LAVALLEE, SUSANNE",Full,CONS 451 101,Lecture-Laboratory,1,In-Person,,Mon Tue Wed Thu Fri,8:00,18:00,Section Comments  contact Susie Lavallee (604) 822 4987 for more information.  This course isrestricted to students in the Conservation Program (in the Science and Management Major).,Yes,0,50,0,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=CONS&course=451&section=101
"LAVALLEE, SUSANNE",,,Lecture-Laboratory,1,In-Person,,Mon,14:00,16:00,Section Comments  contact Susie Lavallee (604) 822 4987 for more information.  This course isrestricted to students in the Conservation Program (in the Science and Management Major).,Yes
"LAVALLEE, SUSANNE",,,Lecture-Laboratory,1,In-Person,,Tue,9:00,11:00,Section Comments  contact Susie Lavallee (604) 822 4987 for more information.  This course isrestricted to students in the Conservation Program (in the Science and Management Major).,Yes
"LAVALLEE, SUSANNE",,,Lecture-Laboratory,1,In-Person,,Wed,10:00,12:00,Section Comments  contact Susie Lavallee (604) 822 4987 for more information.  This course isrestricted to students in the Conservation Program (in the Science and Management Major).,Yes
"LEMAY, VALERIE",Restricted,FRST 556 101,Lecture,1,In-Person,,Wed,9:00,11:30,Section Comments  This is a restricted course for MSFM students only.,Yes,4,18,0,4,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=556&section=101
"LEMAY, VALERIE",,,Lecture,1,In-Person,,Thu,8:30,11:00,Section Comments  This is a restricted course for MSFM students only.,Yes
"LEVERIDGE, AUBREY",Restricted,FRST 544 101,Lecture,1,In-Person,,Wed,13:30,16:30,"Section Comments  Registration is currently restricted to Forestry graduate students and recommended for those new to BC and/or Forestry. Non-restricted seats may be released closer to the start of term; contact the instructor AT THE END OF AUGUST for permission to register, if seats show as still available.",Yes,2,13,0,2,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=544&section=101
"LEVERIDGE, AUBREY",Restricted,FRST 544 102,Lecture,1,In-Person,,Thu,9:30,12:30,"Section Comments  Registration is currently restricted to Forestry graduate students. Non-restricted seats may be released closer to the start of term; contact the instructor AT THE END OF AUGUST for permission, if seats show as still available.",Yes,1,14,0,1,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=544&section=102
"LEVERIDGE, AUBREY",Restricted,FRST 544 103,Lecture,2,In-Person,,Thu,9:30,12:30,"Section Comments  Registration is currently restricted to Forestry graduate students. Non-restricted seats may be released closer to the start of term; contact the instructor AT THE END OF TERM 1 for permission, if seats show as still available.",Yes,3,12,0,3,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=544&section=103
"LEVERIDGE, AUBREY",,WOOD 225 101,Lecture,1,In-Person,,Tue Thu,14:00,15:30,,Yes,5,25,5,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=WOOD&course=225&section=101
"LEVERIDGE, AUBREY",Full,WOOD 225 201,Lecture,2,Online,,Mon Wed,15:00,16:30,,Yes,0,30,0,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=WOOD&course=225&section=201
"LEWIS, SOPHIE ROSE",NO COURSES FOUND,https://courses.students.ubc.ca/cs/courseschedule?pname=inst&ubcid=1698731&catano=0&term=1&sessyr=2022&sesscd=W&campuscd=UBC
"LU, JULIET",Restricted,FRST 578C 203,Directed Studies,2,In-Person,,Fri,9:00,12:00,"Section Comments  Course Title: Resource Governance and the CorporationCourse Description: This course examines how the private sector, including corporations, are governed in resource intensive and extractive sectors. It will cover the history of the corporation, its changing role vis a vis the state and society, and different approaches to controlling the extent and distribution of its social and environmental impacts. Coursework will include exploring specific cases emblematic of resource governance issues around transnational land investments, global food systems, mines, and tree plantations. Through these cases, we will compare approaches to governing the corporation, from self-governance by firms and industry organizations, to consumer-driven change, to formal regulatory mechanisms. In all this, we will learn to take a political ecology approach to ou and ~r analysis, meaning we will place governance and policy questions in their historical, political economy, discursive, and socio-material contexts.Cross-listed with PPGA 591R-001 (Fri 9-12pm / CK Choi Bld Rm 120)",Yes,7,3,0,7,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=578C&section=203
"LU, JULIET",Full,PPGA 591R 001,Seminar,2,In-Person,,Fri,9:00,12:00,"Section Comments  The title of the course is Resource Governance and the Corporation. It is restricted to MPPGA students by July 18.This course examines how the private sector, including corporations, are governed in resource intensive and extractive sectors. It will cover the history of the corporation, its changing role vis a vis the state and society, and different approaches to controlling the extent and distribution of its social and environmental impacts. Coursework will include exploring specific cases emblematic of resource governance issues around transnational land investments, global food systems, mines, and tree plantations. Through these cases, we will compare approaches to governing the corporation, from self-governance by firms and industry organizations, to consumer-driven change, to formal regulatory mechanisms. In all this, we will learn to take a political ecology approach to our analysis, meaning  and ~we will place governance and policy questions in their historical, political economy, discursive, and socio-material contexts.",Yes,0,15,0,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=PPGA&course=591R&section=001
"LYONS, CHARLES",NO COURSES FOUND,https://courses.students.ubc.ca/cs/courseschedule?pname=inst&ubcid=1306818&catano=0&term=1&sessyr=2022&sesscd=W&campuscd=UBC
"MACDICKEN, KENNETH",Restricted,FRST 560 201,Lecture,2,In-Person,,Mon Tue Wed Thu Fri,9:00,12:00,Section Comments  Restricted Registration. Condensed module course in January; registered students will receive exact schedule from the Program Coordinator.,Yes,5,15,0,5,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=560&section=201
"MACRAE, AMELIA",Restricted,APBI 314 001,Lecture,1,In-Person,,Tue Thu,14:00,15:30,,Yes,38,92,0,38,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=APBI&course=314&section=001
"MACRAE, AMELIA",Restricted,APBI 314 003,Lecture,2,In-Person,,Tue Thu,12:30,14:00,,Yes,9,51,0,9,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=APBI&course=314&section=003
"MACRAE, AMELIA",Restricted,APBI 316 001,Lecture,2,In-Person,,Tue Thu,16:00,17:30,,Yes,7,43,0,7,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=APBI&course=316&section=001
"MACRAE, AMELIA",Restricted,APBI 414 001,Lecture,1,Hybrid,,Mon,13:00,16:00,"Section Comments  Blended format: some online lecture components, ?small group in-class?collaboration on research questions,?small break-out group discussions as well as some?in-person?case study discussions.?  Check course syllabus and Canvas for details.",See Section Comments,5,27,0,5,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=APBI&course=414&section=001
"MACRAE, AMELIA",Restricted,APBI 415 001,Lecture,2,Hybrid,,Tue Thu,11:00,12:30,Section Comments  Students should be available for the scheduled time on T/Th to meet either in person or over Zoom. Instructor will inform which sessions will be in-person or over Zoom closer to course start date.,See Section Comments,10,25,0,10,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=APBI&course=415&section=001
"MACRAE, AMELIA",Restricted,LFS 150 005,Lecture,1,Online,,Tue Thu,12:30,14:00,"Section Comments  This course is run SYNCHRONOUSLY, meaning students have to log on and participate at the posted days/times.",See Section Comments,4,26,0,4,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=LFS&course=150&section=005
"MAHONY, COLIN",NO COURSES FOUND,https://courses.students.ubc.ca/cs/courseschedule?pname=inst&ubcid=1482153&catano=0&term=1&sessyr=2022&sesscd=W&campuscd=UBC
"MALHOTRA, NISHA",STT,PPGA 500A 001,Lecture,1,In-Person,,Mon Wed,9:30,11:00,Section Comments  Seats in the course are restricted to students in the MPPGA program. The classroom is MCLD 2002. There are no labs in the first week of the term.,Yes,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=PPGA&course=500A&section=001
"MAN, COSMIN",NO COURSES FOUND,https://courses.students.ubc.ca/cs/courseschedule?pname=inst&ubcid=1483151&catano=0&term=1&sessyr=2022&sesscd=W&campuscd=UBC
"MANESS, THOMAS CHRISTOPHER",NO COURSES FOUND,https://courses.students.ubc.ca/cs/courseschedule?pname=inst&ubcid=1488857&catano=0&term=1&sessyr=2022&sesscd=W&campuscd=UBC
"MANSFIELD, SHAWN",Restricted,APBI 351 101,Lecture,1,In-Person,,Mon Wed Fri,10:00,11:00,"Section Comments  This section is FULL so has been blocked from registration - if you wish to be considered for the course, please register for the waitlist (APBI 351 0W1).",Yes,1,11,0,1,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=APBI&course=351&section=101
"MANSFIELD, SHAWN",Blocked,BIOL 351 101,Lecture,1,In-Person,,Mon Wed Fri,10:00,11:00,,Yes,5,51,0,5,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=BIOL&course=351&section=101
"MANSFIELD, SHAWN",,FRST 311 101,Lecture,1,In-Person,,Mon Wed Fri,10:00,11:00,,Yes,1,7,1,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=311&section=101
"MARSHALL, PETER",,FRST 339 201,Lecture,2,In-Person,,Mon Wed Fri,8:00,9:00,,Yes,11,54,11,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=339&section=201
"MARSHALL, PETER",,FRST 339 L01,Laboratory,2,In-Person,,Thu,9:00,11:00,,Yes,12,53,12,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=FRST&course=339&section=L01
"MCFARLANE, PAUL",NO COURSES FOUND,https://courses.students.ubc.ca/cs/courseschedule?pname=inst&ubcid=1483811&catano=0&term=1&sessyr=2022&sesscd=W&campuscd=UBC
"MCKOWN, ATHENA",Restricted,BIOL 121 125,Lecture,1,In-Person,,Mon Wed Fri,9:00,10:00,"Section Comments  This section is restricted to LAND students only.  BIOL 121 is offered in TERM 1,  TERM 2 and summer session.  For more information about Biology courses see www.biology.ubc.ca.",Yes,15,45,0,15,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=BIOL&course=121&section=125
"MCKOWN, ATHENA",,CONS 330 201,Lecture,2,In-Person,,Tue Thu,11:00,12:30,Section Comments  Please contact Forestry Student Services if you are encountering registration issues.,Yes,2,148,2,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=CONS&course=330&section=201
"MCKOWN, ATHENA",Full,CONS 330 L01,Laboratory,2,In-Person,,Tue,14:00,16:00,,Yes,0,40,0,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=CONS&course=330&section=L01
"MCKOWN, ATHENA",Full,CONS 330 L02,Laboratory,2,In-Person,,Wed,12:00,14:00,,Yes,0,40,0,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=CONS&course=330&section=L02
"MCKOWN, ATHENA",,CONS 330 L03,Laboratory,2,In-Person,,Thu,14:00,16:00,,Yes,1,39,1,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=CONS&course=330&section=L03
"MCKOWN, ATHENA",,CONS 330 L04,Laboratory,2,In-Person,,Fri,12:00,14:00,,Yes,1,29,1,0,https://courses.students.ubc.ca/cs/courseschedule?pname=subjarea&tname=subj-section&dept=CONS&course=330&section=L04
